voc_size,analyzer,classifier,f1,f2,f3,coverage,pca,pre
1000,char,NaiveBayes,0.9552272727272727,0.9578334706797794,0.9574109803676453,0.9808517331929401,[0.3131436  0.13806745],false
1000,char,SVM,0.9581818181818181,0.9591720850139462,0.9590543997236151,0.9808517331929401,[0.3131436  0.13806745],false
1000,word,NaiveBayes,0.8922727272727272,0.8813748184571918,0.8847329973323064,0.25763201234562777,[0.078771   0.03629276],false
1000,word,SVM,0.9263636363636364,0.9225093784141041,0.9229809524489092,0.25763201234562777,[0.078771   0.03629276],false
1000,word,NaiveBayes,0.8913636363636364,0.8936720118735461,0.896894132984495,0.23124237694920588,[0.08013047 0.03514502]
1000,word,SVM,0.918409090909091,0.9220541984720678,0.9230750115874244,0.23124237694920588,[0.08013047 0.03514502]
100,word,NaiveBayes,0.7327272727272728,0.716843572348926,0.7221154301394895,0.11690645123214731,[0.12368321 0.05999585]
100,word,SVM,0.7775,0.7663730527857159,0.7681376037519347,0.11690645123214731,[0.12368321 0.05999585]
10000,word,NaiveBayes,0.9431818181818182,0.9424161932322772,0.9441572351737019,0.4046249786882451,[0.06061003 0.02437752]
10000,word,SVM,0.9570454545454545,0.9582661827231479,0.958748707633084,0.4046249786882451,[0.06061003 0.02437752]
10000,word,NaiveBayes,0.8681818181818182,0.8466245522506054,0.85068691649092,0.5081082246415867,[0.0646572  0.02619131]
10000,word,SVM,0.9118181818181819,0.90481538162546,0.9054470355550768,0.5081082246415867,[0.0646572  0.02619131]
10000,word,NaiveBayes,0.9152272727272728,0.9071728341591482,0.9097641444494936,0.4361292142522308,[0.05862952 0.02522141]
10000,word,SVM,0.9440909090909091,0.9428291102261072,0.943481726062874,0.4361292142522308,[0.05862952 0.02522141]
